,X,Y,labels,corpus,value
269,-4.003554,0.0845137,21,corpus/rick ruskin microphone fever.wav,0.15
270,10.307727,-0.8308978,18,corpus/RITALEE_MUTANTE.wav,0.15
271,6.2849617,1.84789,-1,corpus/roger saunders-darkness.wav,0.15
272,-2.1313462,2.9131534,11,corpus/ROGERROGERANDHISORCHESTRA_JERKMACHINE.wav,0.15
273,8.670311,-0.5215247,7,corpus/ROLLINGSTONES_HONKYTONKWOMAN.wav,0.15
274,6.0074286,1.6330115,6,corpus/rotary connection life could.wav,0.15
275,-2.955905,1.0088574,22,corpus/roy ayers the boogie back.wav,0.15
276,11.377599,-2.2662563,0,corpus/royayers(cantyousee).wav,0.15
277,-1.0245326,2.041786,14,corpus/rufus thomas do the funky penquin (2).wav,0.15
278,-0.6470333,2.573435,-1,corpus/rufus thomas the breakdown.wav,0.15
279,-4.9207435,-1.7634885,29,corpus/rufusmaybeyourbaby.wav,0.15
280,7.5266724,1.1084949,9,corpus/SALT-HUNG UP.wav,0.15
281,0.3047555,2.3226013,26,corpus/sandy nelson mystery boogaloo.wav,0.15
282,8.294089,0.5740741,19,corpus/SANDYNELSON_BOSSBEAT.wav,0.15
283,9.492994,-0.42777702,17,corpus/Sarabande.wav,0.15
284,-2.01618,3.0074806,11,corpus/SESAMESTREET_ONETWOBUCKLEMYSHOE.wav,0.15
285,-2.3676927,2.2189252,12,corpus/SHADESOFBROWN_THESOILITILLEDFORYOU.wav,0.15
286,-1.188648,1.1918662,15,corpus/SHARKS_SUNBEATDOWN(2) SNARES.wav,0.15
287,-2.701166,-0.7156538,23,corpus/SHARONJONES_HOWLONGDOIHAVETOWAITFORYOU.wav,0.15
288,10.307096,-0.6680825,18,corpus/shocking_blue.wav,0.15
289,-1.2837948,2.0941079,14,corpus/silhouettes fonky first.wav,0.15
290,7.43924,1.0604948,9,corpus/silverconventionmissiontovenus.wav,0.15
291,9.950274,-0.64447945,18,corpus/skull snaps its a new day.wav,0.15
292,-2.9115977,0.6698395,22,corpus/SKY_LOWDOWN.wav,0.15
293,0.45387682,1.5794581,16,corpus/sly & the family stone you can make it if u try.wav,0.15
294,-2.5454,1.8312612,12,corpus/solomon burke goomlw.wav,0.15
295,-1.2888937,2.1777778,14,corpus/SOULPATROL_PETERPAN.wav,0.15
296,11.593366,-2.395799,0,corpus/SOUNDOFNEWYORK_LASTNIGHTADJSAVEDMYLIFE.wav,0.15
297,-2.5794864,1.9100691,12,corpus/spinners(webelong)break.wav,0.15
298,-4.3272195,-0.8295097,28,corpus/SPIRITCADILLACCOWBOY.wav,0.15
299,-4.9583435,-1.7820406,29,corpus/SPIRITUNCLEJACK.wav,0.15
300,5.6972365,1.8289851,6,corpus/SPYRO GYRA-STARBURST.wav,0.15
301,12.119735,-2.8082047,1,corpus/STANLEYCLARKE_SILLYPUTTY.wav,0.15
302,0.6926462,0.75946677,3,corpus/STARKREALITY_ALLYOUNEEDTOMAKEMUSIC.wav,0.15
303,-1.5090482,-0.59008515,23,corpus/StatlerJazz-on-broadway.wav,0.15
304,0.24718936,1.4887575,16,corpus/steve arrington weak at the knees.wav,0.15
305,-5.871345,-0.9130508,25,corpus/stevemiller(cantuhear)break.wav,0.15
306,-5.031007,-1.8243097,29,corpus/STEVIEWONDERMASTERBLASTER.wav,0.15
307,-3.7289355,-1.0803928,24,corpus/SUGARLOAF_WILDCHILD.wav,0.15
308,-2.1846268,1.7954035,12,corpus/superstition.wav,0.15
309,-0.20453697,0.49869573,2,corpus/SURPRIZE_SWEETLOVE(2).wav,0.15
310,-1.9943231,-1.1636893,23,corpus/SUZI QUATRO-STICKS AND STONES.wav,0.15
311,-3.0038693,0.83038694,22,corpus/SWEET_INTONIGHT.wav,0.15
